,ID,sex,d15N,d13C
XenniS,LBG5,M,7.183509105,-22.18506861
XenniS,LBG6,F,7.426771308,-23.59682179
XenniS,LBG7,F,7.522684471,-20.31135943
XenniS,LBG8,M,7.450482125,-23.54366831
XenniS,LBH1,M,7.702109975,-23.16164759
XenniS,LBH2,F,7.284562087,-24.13338848
XenniS,LBH3,M,7.131351694,-23.55585183
Cypzon,LBI5,M,7.320146384,-21.36578566
Cypzon,LBI6,F,7.27223454,-21.50959892
Cypzon,LBI7,M,6.979336354,-22.04699238
Cypzon,LBI8,M,7.232829924,-21.51334806
Cypzon,LBI9,M,7.114412471,-22.16738013
Cypzon,LDA1,M,6.8975949,-22.29341083
Cypzon,LDA2,F,7.271211245,-21.45854408
Cypzon,LDA3,F,6.937259359,-21.9405708
Petmac,LDA4,M,5.294276996,-11.44530086
Petmac,LDA5,M,4.945514466,-12.05881572
Petmac,LDA6,M,4.946223315,-11.3225206
Tchdha,LJA7,M,7.533546029,-22.42869937
Tchdha,LJA8,F,7.632712281,-22.55582303
Tchdha,LJA9,M,7.538562323,-22.58886551
Petmac,LJB1,F,5.754732974,-12.14595025
Petmac,LJB2,F,5.145088279,-11.57719228
Petmac,LJB3,F,5.521486214,-12.21523385
Xenbat,IMF9,M,6.975539064,-18.31158883
Xennas,IMG1,F,7.91408474,-19.72489462
Xennas,IMG2,F,8.427042284,-20.14565561
Xennas,IMG3,M,9.047666077,-19.88048989
Xennas,IMG4,M,8.943253086,-19.88858807
Xennas,IMG5,NA,8.762210224,-20.05582569
Tromoo,IMG6,NA,4.943588523,-13.61729761
Chabri,IMG7,F,7.542627396,-18.20813283
Chabri,IMG8,M,7.021977725,-16.12558241
Neomod,IMG9,M,7.402954073,-14.63921691
Neomod,IMH1,M,7.303299393,-13.61449917
Neomod,IMH2,F,7.234609885,-12.52991872
Xenbat,IMH6,F,7.720684351,-18.63015955
Xennas,IMH7,F,8.896898196,-18.76913609
Xennas,IMH8,M,8.797952566,-19.30208768
Xennas,IMH9,M,8.91556594,-19.60573509
Xennas,IMI1,NA,8.569926846,-19.18001692
Lepmim,IMI2,F,7.462448553,-21.1245806
Batfas,IMI3,NA,7.421652515,-19.96598075
Plestr,IMI4,NA,9.2531064,-16.19588926
Altcal,IMI5,NA,6.762211187,-18.85853164
Lepken,IMI6,NA,8.074431338,-20.25867968
Lepken,IMI7,NA,7.440285779,-19.18298771
Gralem,IMI9,NA,7.272670754,-19.36592219
Gralem,JBC4,F,9.654442841,-20.58311045
Gralem,JBC5,M,8.991275225,-18.81124288
Gralem,JBC6,M,7.981485878,-23.9345887
Telbra,JBC7,M,4.754416932,-14.37617999
Telbra,JBC8,M,4.580231645,-11.8802811
Telbra,JBC9,M,4.94275947,-14.66766617
Simple,JBD2,NA,7.29098562,-15.8843794
Simple,JBD3,NA,8.297147257,-15.092798
Petfas,JBD4,M,4.535061455,-12.19880526
Telvit,JBD7,NA,9.002075575,-16.46842151
Telvit,JBD8,NA,5.981634144,-15.19709383
Telvit,JBD9,NA,6.041798297,-19.65448494
Telvit,JBE1,NA,5.820199556,-16.10284181
Telvit,JBE2,NA,6.512697343,-14.0848196
Telvit,JBE3,NA,6.961891147,-18.8871675
Leppro,JBE5,M,7.150862908,-19.77765404
Hapmic,JEA2,M,7.276624042,-19.10926566
Hapmic,JEA3,F,6.710922299,-18.89301594
Lamcal,JEA4,NA,6.878093981,-20.3550226
Lamcal,JEA5,NA,5.812114486,-18.96096015
Lamcal,JEA6,NA,6.69660823,-19.82317192
Lamcal,JEA7,NA,6.647746682,-20.27217663
Cyppav,JEC6,M,6.706606956,-21.58605687
Cypcol,JEC7,M,6.934782278,-21.90078153
Cypcol,JEC8,M,7.062172935,-21.52692968
Cypcol,JEC9,F,7.110878448,-21.69877887
Cypcol,JED1,F,6.790819183,-21.97554763
Leppro,JED3,M,7.904491208,-20.9865595
NeoveS,JED4,M,8.304917484,-22.22381852
NeoveS,JED5,F,7.551160346,-20.37990013
Petgia,LDC6,M,4.674159127,-12.69875178
Petgia,LDC7,M,4.541489181,-13.56246576
Petgia,LDC8,M,4.51283587,-12.80171617
Petgia,LDC9,M,4.19947218,-12.91725327
Lepmim,LDD1,M,7.665807093,-20.90813214
Lepmim,LDD2,M,7.256199913,-20.55861292
